SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,PricePerSqft,PropertyAge,ListingCategory
2579,2,2,Urban,1997,245276.7339,95.11,28,Mid-Range
1161,4,2,Suburb,2003,288571.1272,248.55,22,High-End
1201,5,1,Urban,1951,87804.56037,73.11,74,Budget
2981,3,2,Rural,1982,267127.0106,89.61,43,High-End
1995,5,3,Suburb,1965,221217.7693,110.89,60,Mid-Range
1269,3,2,Suburb,1999,218784.633,172.41,26,Mid-Range
2886,5,3,Rural,1969,315607.0238,109.36,56,High-End
1815,3,3,Urban,2016,217967.9285,120.09,9,Mid-Range
2294,4,1,Rural,1994,353343.634,154.03,31,High-End
1455,3,3,Urban,1984,187002.9639,128.52,41,Budget
2485,4,2,Rural,1978,222855.0833,89.68,47,Mid-Range
2750,4,2,Rural,1994,366548.8223,133.29,31,High-End
2275,5,2,Rural,1964,259473.2793,114.05,61,Mid-Range
2016,4,2,Urban,1952,212440.4224,105.38,73,Mid-Range
2725,2,2,Urban,2018,237066.6856,87,7,Mid-Range
1295,3,3,Urban,1983,158357.6481,122.28,42,Budget
2748,5,1,Suburb,2020,255619.9978,93.02,5,Mid-Range
1719,4,1,Suburb,1953,190659.435,110.91,72,Mid-Range
2772,3,2,Urban,1968,284985.4357,102.81,57,High-End
1337,3,3,Urban,1970,214741.2285,160.61,55,Mid-Range
1878,2,1,Suburb,1964,128693.0288,68.53,61,Budget
2076,3,2,Rural,1966,184051.9827,88.66,59,Budget
1791,5,3,Rural,2003,242865.2602,135.6,22,Mid-Range
2945,5,1,Urban,1986,295356.7755,100.29,39,High-End
1216,4,3,Rural,2003,107868.9321,88.71,22,Budget
1763,4,2,Urban,1971,207380.1361,117.63,54,Mid-Range
1187,5,3,Suburb,1957,132828.8141,111.9,68,Budget
1379,3,1,Urban,1960,84493.69131,61.27,65,Budget
1492,3,1,Suburb,2019,53360.86541,35.76,6,Budget
2064,2,3,Rural,1958,296199.3496,143.51,67,High-End
2180,4,1,Urban,1951,273924.5574,125.65,74,High-End
1014,3,3,Urban,1981,204340.7259,201.52,44,Mid-Range
2836,3,3,Urban,2000,228582.097,80.6,25,Mid-Range
1064,4,2,Suburb,1986,237384.3466,223.11,39,Mid-Range
2880,5,2,Rural,1955,312245.868,108.42,70,High-End
2862,3,3,Urban,1961,219408.625,76.66,64,Mid-Range
1520,2,1,Rural,2003,201334.9416,132.46,22,Mid-Range
2367,3,2,Suburb,1995,221413.5776,93.54,30,Mid-Range
2152,3,1,Rural,1982,306839.6219,142.58,43,High-End
1647,2,3,Urban,1967,126756.3572,76.96,58,Budget
2495,5,1,Urban,1987,328702.8347,131.74,38,High-End
2086,2,1,Suburb,2008,141074.0284,67.63,17,Budget
2162,2,3,Rural,1956,220712.4613,102.09,69,Mid-Range
2522,4,2,Urban,1964,319176.8399,126.56,61,High-End
1592,3,2,Suburb,1950,245299.2099,154.08,75,Mid-Range
1391,5,1,Rural,1995,51154.13113,36.78,30,Budget
2698,3,3,Urban,1981,314018.0283,116.39,44,High-End
1418,5,3,Suburb,1998,222904.258,157.2,27,Mid-Range
1288,2,2,Suburb,1959,115697.7782,89.83,66,Budget
1378,4,3,Suburb,1966,140714.7704,102.12,59,Budget
2796,2,3,Suburb,1969,178353.1481,63.79,56,Budget
2513,3,1,Suburb,2000,280022.0311,111.43,25,High-End
1230,4,1,Rural,1971,136418.4808,110.91,54,Budget
2017,4,2,Urban,1969,195803.9703,97.08,56,Mid-Range
1040,3,2,Rural,2014,98933.43907,95.13,11,Budget
2051,5,1,Suburb,1953,185052.5632,90.23,72,Budget
1134,4,3,Urban,2003,160764.4394,141.77,22,Budget
1200,5,3,Suburb,2014,156394.2735,130.33,11,Budget
2863,5,1,Suburb,2000,333464.149,116.47,25,High-End
1779,5,1,Urban,1960,211994.3282,119.16,65,Mid-Range
1929,4,1,Rural,1976,252779.6909,131.04,49,Mid-Range
2056,2,1,Urban,1975,288750.4043,140.44,50,High-End
2071,4,3,Rural,1966,185482.0606,89.56,59,Budget
1502,2,3,Suburb,1991,119671.3689,79.67,34,Budget
1406,4,2,Suburb,1997,148891.4193,105.9,28,Budget
2597,2,1,Rural,1982,235810.2236,90.8,43,Mid-Range
2751,2,2,Suburb,2010,357765.1172,130.05,15,High-End
1804,4,3,Rural,1978,216771.36,120.16,47,Mid-Range
1098,5,2,Rural,2012,102580.4984,93.42,13,Budget
1683,5,3,Urban,1986,208774.1423,124.05,39,Mid-Range
2895,2,3,Suburb,2005,302454.6401,104.47,20,High-End
1725,3,2,Urban,1965,208558.7817,120.9,60,Mid-Range
2570,3,2,Urban,2005,276434.5399,107.56,20,High-End
1960,4,1,Suburb,1991,220786.712,112.65,34,Mid-Range
2762,4,3,Urban,1973,354268.4752,128.27,52,High-End
1612,4,1,Suburb,2018,142420.9723,88.35,7,Budget
2966,3,1,Suburb,1980,299146.5954,100.86,45,High-End
2485,5,3,Urban,1960,321647.4527,129.44,65,High-End
1642,4,2,Suburb,1951,216976.9081,132.14,74,Mid-Range
2792,4,1,Suburb,2020,243179.7034,87.1,5,Mid-Range
2028,5,1,Suburb,1984,184210.7736,90.83,41,Budget
2241,2,3,Suburb,2011,175779.5682,78.44,14,Budget
1502,4,2,Urban,2003,162271.0864,108.04,22,Budget
1766,3,2,Rural,2018,240727.0397,136.31,7,Mid-Range
1397,3,1,Urban,2000,186900.9464,133.79,25,Budget
1870,4,3,Rural,1958,208692.1498,111.6,67,Mid-Range
1794,3,1,Rural,1963,114333.6939,63.73,62,Budget
1392,5,2,Rural,2005,225281.3242,161.84,20,Mid-Range
1206,2,1,Suburb,1983,110852.4526,91.92,42,Budget
2038,2,3,Rural,1950,206119.1817,101.14,75,Mid-Range
2881,4,1,Suburb,1987,292218.3734,101.43,38,High-End
2577,4,2,Suburb,1966,209166.2973,81.17,59,Mid-Range
1891,2,3,Suburb,1965,283220.1087,149.77,60,High-End
2484,2,3,Urban,1997,354538.8214,142.73,28,High-End
2714,4,3,Rural,1999,290954.4918,107.21,26,High-End
2598,3,3,Urban,2020,207377.5555,79.82,5,Mid-Range
1863,4,3,Suburb,1990,267934.0926,143.82,35,High-End
1742,5,1,Urban,1993,235034.8998,134.92,32,Mid-Range
2264,4,3,Suburb,1964,246611.8831,108.93,61,Mid-Range
1563,4,2,Urban,2010,314867.6516,201.45,15,High-End
2020,4,3,Suburb,1999,278092.7571,137.67,26,High-End
1095,4,2,Suburb,2001,88443.38397,80.77,24,Budget
2923,4,2,Urban,2001,235396.4545,80.53,24,Mid-Range
2757,4,2,Suburb,1985,280503.8129,101.74,40,High-End
1484,3,2,Rural,1982,273072.3373,184.01,43,High-End
2430,4,2,Urban,1994,252666.8483,103.98,31,Mid-Range
1230,2,1,Urban,1951,133914.4068,108.87,74,Budget
1748,4,2,Suburb,1950,142717.8302,81.65,75,Budget
2678,3,2,Urban,2019,266197.0444,99.4,6,High-End
2194,5,2,Rural,1996,245433.6945,111.87,29,Mid-Range
1540,2,1,Urban,2013,177796.403,115.45,12,Budget
2059,4,3,Rural,1967,226582.2743,110.04,58,Mid-Range
1524,4,2,Urban,2003,170745.4653,112.04,22,Budget
2183,2,1,Rural,1984,194059.3707,88.9,41,Mid-Range
2862,4,1,Urban,2008,347187.4093,121.31,17,High-End
2722,3,1,Rural,1985,345978.9789,127.1,40,High-End
2266,4,3,Suburb,1975,323981.508,142.98,50,High-End
2109,5,1,Urban,1994,185909.9016,88.15,31,Budget
2819,3,2,Urban,2018,231642.4153,82.17,7,Mid-Range
1577,4,2,Rural,1979,181472.0115,115.07,46,Budget
1681,5,2,Urban,1982,247683.3818,147.34,43,Mid-Range
1556,2,3,Rural,1972,174119.7797,111.9,53,Budget
2597,3,1,Suburb,1970,249931.3819,96.24,55,Mid-Range
2976,4,2,Rural,2012,352084.0473,118.31,13,High-End
2012,4,2,Urban,2019,356256.9103,177.07,6,High-End
1645,2,2,Suburb,2017,115738.6024,70.36,8,Budget
1795,2,3,Rural,1985,265399.2764,147.85,40,High-End
2051,3,2,Rural,1986,205543.4525,100.22,39,Mid-Range
2643,3,1,Suburb,1950,248155.8717,93.89,75,Mid-Range
2579,3,1,Urban,1975,318796.3968,123.61,50,High-End
2363,4,3,Urban,1991,254479.256,107.69,34,Mid-Range
2821,4,3,Urban,1989,248782.2169,88.19,36,Mid-Range
2981,3,3,Suburb,2002,320922.1762,107.66,23,High-End
2354,4,1,Rural,2011,265274.004,112.69,14,High-End
2663,2,3,Suburb,1993,283301.9362,106.38,32,High-End
2529,5,3,Rural,1985,291195.6713,115.14,40,High-End
2371,4,1,Suburb,1953,240277.0098,101.34,72,Mid-Range
2496,3,2,Rural,1970,316708.5954,126.89,55,High-End
2254,4,3,Rural,1966,267724.6993,118.78,59,High-End
1189,2,2,Suburb,1965,52033.75929,43.76,60,Budget
2248,3,2,Suburb,1990,157260.9835,69.96,35,Budget
2408,5,2,Suburb,2004,349887.3872,145.3,21,High-End
2400,3,2,Rural,2006,302581.5244,126.08,19,High-End
2306,3,3,Suburb,2015,267740.4347,116.11,10,High-End
2981,3,3,Rural,1987,296942.7544,99.61,38,High-End
1632,4,3,Rural,2005,211665.6222,129.7,20,Mid-Range
1627,5,1,Suburb,1986,240462.6778,147.8,39,Mid-Range
1972,2,1,Urban,1999,221900.7731,112.53,26,Mid-Range
2768,4,2,Urban,2004,337510.5084,121.93,21,High-End
2282,5,1,Rural,1950,351438.5468,154,75,High-End
2382,5,2,Rural,2014,207718.7412,87.2,11,Mid-Range
1709,4,2,Urban,2014,187379.3901,109.64,11,Budget
2479,3,3,Rural,1993,325104.8264,131.14,32,High-End
2434,5,3,Urban,1961,234064.5137,96.16,64,Mid-Range
1648,2,1,Rural,2002,168976.4954,102.53,23,Budget
1317,4,3,Rural,2010,72491.39026,55.04,15,Budget
2700,5,1,Suburb,1962,397825.3364,147.34,63,High-End
2248,2,3,Urban,1991,224680.0524,99.95,34,Mid-Range
2842,2,3,Rural,1995,297609.7185,104.72,30,High-End
2257,2,1,Urban,1991,211357.5631,93.65,34,Mid-Range
1683,2,2,Suburb,1965,191156.3841,113.58,60,Mid-Range
1663,4,1,Urban,1993,198444.2855,119.33,32,Mid-Range
2998,2,3,Rural,2019,227602.8452,75.92,6,Mid-Range
2850,4,2,Urban,1965,227374.5843,79.78,60,Mid-Range
2397,2,3,Suburb,1971,311492.2466,129.95,54,High-End
2695,2,3,Urban,1984,341035.6518,126.54,41,High-End
2631,4,3,Urban,1998,329215.4127,125.13,27,High-End
2495,3,2,Urban,2020,189722.895,76.04,5,Mid-Range
2256,5,3,Urban,2013,315304.2483,139.76,12,High-End
2715,5,1,Rural,1980,229019.4795,84.35,45,Mid-Range
2136,4,1,Urban,1950,218041.2171,102.08,75,Mid-Range
2853,2,1,Suburb,1974,256367.8643,89.86,51,Mid-Range
2520,4,2,Urban,1969,427589.087,169.68,56,High-End
1441,2,1,Suburb,1957,161116.8187,111.81,68,Budget
1563,4,3,Suburb,2013,182494.886,116.76,12,Budget
2291,5,2,Suburb,1965,276165.9051,120.54,60,High-End
2533,4,3,Suburb,2004,314516.613,124.17,21,High-End
2830,5,3,Rural,1975,272012.2652,96.12,50,High-End
2409,5,3,Urban,2014,342249.5423,142.07,11,High-End
2410,5,1,Urban,1977,258023.511,107.06,48,Mid-Range
2136,4,1,Rural,1995,115459.882,54.05,30,Budget
2636,3,2,Urban,2003,240419.9739,91.21,22,Mid-Range
2648,4,2,Rural,2003,388951.7892,146.89,22,High-End
1951,4,1,Suburb,2021,250119.2129,128.2,4,Mid-Range
2104,3,1,Urban,1998,210586.9765,100.09,27,Mid-Range
1698,3,3,Suburb,1995,234243.6244,137.95,30,Mid-Range
1112,5,1,Urban,1950,69293.96649,62.31,75,Budget
1001,2,3,Urban,1993,163837.6824,163.67,32,Budget
1641,2,1,Urban,1953,252127.9863,153.64,72,Mid-Range
1219,5,3,Suburb,1980,117989.3568,96.79,45,Budget
2589,4,1,Rural,1964,313948.4453,121.26,61,High-End
1854,2,1,Suburb,1950,254919.2752,137.5,75,Mid-Range
2759,4,2,Rural,2021,197521.8272,71.59,4,Mid-Range
2248,3,2,Urban,1955,198494.0403,88.3,70,Mid-Range
1384,3,3,Urban,1976,152204.7559,109.97,49,Budget
2426,5,2,Urban,1975,308529.3077,127.18,50,High-End
2661,4,2,Urban,2015,308854.901,116.07,10,High-End
2153,5,1,Suburb,1962,246860.55,114.66,63,Mid-Range
2076,2,3,Rural,2020,225867.2386,108.8,5,Mid-Range
2707,2,2,Rural,1983,249678.2289,92.23,42,Mid-Range
1729,2,2,Rural,1982,108636.4752,62.83,43,Budget
2695,4,1,Urban,1989,299818.5608,111.25,36,High-End
2733,5,1,Suburb,1992,290094.597,106.15,33,High-End
2439,5,1,Urban,1956,272077.8727,111.55,69,High-End
1246,2,3,Rural,1988,130941.4829,105.09,37,Budget
1835,5,1,Suburb,2015,241849.2415,131.8,10,Mid-Range
2462,3,3,Suburb,1985,206273.3001,83.78,40,Mid-Range
1202,3,1,Urban,2013,155086.4599,129.02,12,Budget
2207,3,2,Suburb,1953,169742.8703,76.91,72,Budget
1122,3,3,Suburb,1971,148324.4032,132.2,54,Budget
1400,5,1,Suburb,2020,184460.0434,131.76,5,Budget
1766,3,1,Urban,1953,138095.4799,78.2,72,Budget
1293,3,2,Urban,2013,205414.9105,158.87,12,Mid-Range
1279,3,2,Suburb,1971,183265.399,143.29,54,Budget
2860,3,2,Urban,2011,284616.4673,99.52,14,High-End
1883,3,1,Suburb,1989,181947.6429,96.63,36,Budget
2633,4,2,Rural,1969,284003.7694,107.86,56,High-End
1197,4,2,Rural,1958,90959.78933,75.99,67,Budget
1981,3,3,Suburb,2014,198755.1464,100.33,11,Mid-Range
2930,3,3,Rural,1972,370459.829,126.44,53,High-End
2534,5,3,Rural,1984,348379.2665,137.48,41,High-End
1751,3,1,Rural,2008,270704.1541,154.6,17,High-End
1143,2,3,Suburb,1963,168931.8286,147.8,62,Budget
1608,4,1,Urban,1993,189126.0514,117.62,32,Budget
2224,3,2,Suburb,1971,218168.7081,98.1,54,Mid-Range
2147,4,1,Suburb,1977,199220.1955,92.79,48,Mid-Range
1186,3,1,Urban,2008,129960.0168,109.58,17,Budget
2349,2,2,Suburb,1996,281507.745,119.84,29,High-End
1463,3,3,Suburb,2017,169378.7848,115.77,8,Budget
2372,4,3,Suburb,2019,248599.1077,104.81,6,Mid-Range
2794,4,3,Rural,1966,411678.0284,147.34,59,High-End
1659,4,2,Suburb,1980,119032.883,71.75,45,Budget
1763,5,1,Suburb,1963,230075.0498,130.5,62,Mid-Range
1954,4,2,Urban,1998,122604.9562,62.75,27,Budget
2955,3,2,Rural,2016,296998.8381,100.51,9,High-End
1402,2,2,Rural,1970,109470.1427,78.08,55,Budget
2369,2,2,Suburb,1962,246212.1973,103.93,63,Mid-Range
2986,3,1,Rural,1999,310583.0759,104.01,26,High-End
2534,5,3,Rural,2017,233756.8864,92.25,8,Mid-Range
1146,3,3,Urban,1961,100102.2252,87.35,64,Budget
2171,4,2,Urban,1997,199324.8407,91.81,28,Mid-Range
1863,5,1,Rural,2013,331026.5964,177.68,12,High-End
2734,3,2,Urban,1964,231041.3484,84.51,61,Mid-Range
2843,5,1,Suburb,1965,333530.0634,117.32,60,High-End
1488,2,2,Urban,2021,61092.66123,41.06,4,Budget
1928,3,3,Suburb,1999,205778.3124,106.73,26,Mid-Range
2959,3,3,Urban,1990,384570.7365,129.97,35,High-End
2663,2,2,Rural,1953,339772.9527,127.59,72,High-End
1550,5,3,Suburb,1969,186745.1296,120.48,56,Budget
1337,2,2,Urban,1957,185559.0802,138.79,68,Budget
1871,5,1,Urban,2017,213894.3146,114.32,8,Mid-Range
1640,3,1,Suburb,1996,180978.0157,110.35,29,Budget
2802,5,1,Urban,1982,243011.5747,86.73,43,Mid-Range
2976,5,1,Rural,1954,265075.9482,89.07,71,High-End
1472,4,2,Suburb,2017,163315.127,110.95,8,Budget
2969,4,3,Rural,1990,384847.0499,129.62,35,High-End
1150,4,1,Suburb,2010,190479.1989,165.63,15,Mid-Range
2438,2,3,Suburb,1973,204129.2143,83.73,52,Mid-Range
2321,2,2,Suburb,1976,249930.1176,107.68,49,Mid-Range
2634,4,3,Suburb,1978,372750.4748,141.51,47,High-End
1262,3,3,Rural,2016,189650.2011,150.28,9,Mid-Range
2787,3,3,Rural,1986,308299.3121,110.62,39,High-End
1143,3,2,Suburb,2002,95784.07402,83.8,23,Budget
1345,2,2,Suburb,1951,165456.1184,123.02,74,Budget
1623,5,2,Rural,1986,236531.6655,145.74,39,Mid-Range
2016,2,3,Suburb,2021,212190.7549,105.25,4,Mid-Range
2595,4,1,Suburb,2014,298280.3607,114.94,11,High-End
1880,5,1,Rural,1997,172765.2509,91.9,28,Budget
1001,3,3,Rural,1998,151917.3536,151.77,27,Budget
1896,2,1,Rural,1996,196497.0693,103.64,29,Mid-Range
2327,2,1,Urban,1953,212603.1702,91.36,72,Mid-Range
1253,4,3,Suburb,1952,205827.9137,164.27,73,Mid-Range
2675,3,2,Rural,1985,350608.1323,131.07,40,High-End
1452,2,1,Suburb,1955,64055.91438,44.12,70,Budget
2060,2,2,Urban,1983,202645.4687,98.37,42,Mid-Range
2183,5,1,Rural,2001,215636.3058,98.78,24,Mid-Range
2014,2,3,Rural,1980,210336.9815,104.44,45,Mid-Range
1008,5,3,Suburb,1983,161063.7361,159.79,42,Budget
2256,2,2,Suburb,1991,162732.681,72.13,34,Budget
2122,3,2,Rural,1997,283190.3906,133.45,28,High-End
2682,4,2,Rural,2005,257018.5571,95.83,20,Mid-Range
1815,3,2,Suburb,1967,161315.0888,88.88,58,Budget
1207,4,3,Suburb,1963,171344.5126,141.96,62,Budget
2154,2,3,Rural,2018,301758.3278,140.09,7,High-End
1403,3,3,Urban,2007,186512.3187,132.94,18,Budget
1151,5,2,Suburb,2019,147961.7399,128.55,6,Budget
1053,4,3,Suburb,2005,96856.09323,91.98,20,Budget
2143,4,3,Suburb,2002,241976.2417,112.91,23,Mid-Range
2696,2,1,Rural,2018,256546.8458,95.16,7,Mid-Range
2943,4,1,Rural,2009,245612.125,83.46,16,Mid-Range
1627,4,1,Rural,1981,192616.9107,118.39,44,Mid-Range
1586,4,2,Suburb,1996,234537.6253,147.88,29,Mid-Range
2648,2,2,Suburb,1971,266525.8016,100.65,54,High-End
2991,3,3,Urban,1953,411274.8172,137.5,72,High-End
2443,2,3,Rural,1974,241617.2738,98.9,51,Mid-Range
2445,5,2,Rural,2010,230463.8154,94.26,15,Mid-Range
1103,4,1,Suburb,1961,249885.947,226.55,64,Mid-Range
2875,4,3,Suburb,1980,320712.1739,111.55,45,High-End
1253,3,1,Urban,1950,131536.1636,104.98,75,Budget
2250,4,3,Suburb,2010,258681.6486,114.97,15,Mid-Range
2135,3,1,Suburb,1955,236721.5797,110.88,70,Mid-Range
1509,4,3,Suburb,1971,152417.9594,101.01,54,Budget
2496,4,1,Urban,1961,277449.0164,111.16,64,High-End
1098,2,1,Urban,1972,97639.6442,88.92,53,Budget
1152,2,2,Urban,1984,68864.72804,59.78,41,Budget
2884,5,3,Urban,1963,292602.0202,101.46,62,High-End
1913,3,1,Urban,1979,163126.6346,85.27,46,Budget
2919,5,2,Rural,1971,316117.1566,108.3,54,High-End
1877,2,3,Suburb,1965,173591.5158,92.48,60,Budget
1337,3,2,Urban,2020,245240.8693,183.43,5,Mid-Range
2729,2,1,Urban,1964,299136.081,109.61,61,High-End
1821,3,3,Urban,1951,102620.9118,56.35,74,Budget
2186,4,1,Urban,1971,174740.9101,79.94,54,Budget
2743,5,1,Suburb,2012,303839.7622,110.77,13,High-End
1956,5,2,Suburb,1964,255500.6503,130.62,61,Mid-Range
2704,3,1,Rural,1968,305226.148,112.88,57,High-End
1160,5,3,Suburb,1970,174048.9196,150.04,55,Budget
2603,2,2,Urban,1976,240369.9407,92.34,49,Mid-Range
1800,5,1,Urban,1968,310732.593,172.63,57,High-End
1397,3,1,Urban,1975,125680.0817,89.96,50,Budget
2300,5,1,Urban,1998,303253.7531,131.85,27,High-End
1815,5,2,Suburb,2007,137931.9766,76,18,Budget
2939,2,3,Suburb,2016,238181.4446,81.04,9,Mid-Range
2527,4,2,Rural,1974,299144.4834,118.38,51,High-End
2919,2,1,Suburb,1971,340122.3587,116.52,54,High-End
2415,5,2,Urban,1963,230193.1787,95.32,62,Mid-Range
2158,5,1,Urban,1958,300494.8966,139.25,67,High-End
2218,4,2,Suburb,1971,267560.2688,120.63,54,High-End
1400,4,1,Rural,1964,173748.309,124.11,61,Budget
1639,2,2,Rural,1989,198112.8732,120.87,36,Mid-Range
2056,4,1,Suburb,2014,237224.4282,115.38,11,Mid-Range
1687,2,1,Suburb,2002,130383.6498,77.29,23,Budget
1459,3,2,Suburb,1980,248587.2901,170.38,45,Mid-Range
1954,5,2,Urban,1959,268826.741,137.58,66,High-End
2906,4,1,Suburb,1983,307426.1376,105.79,42,High-End
1469,3,3,Suburb,1986,224293.9722,152.68,39,Mid-Range
2398,3,1,Rural,1962,335992.3788,140.11,63,High-End
2045,2,1,Rural,1987,265649.0843,129.9,38,High-End
1749,2,3,Urban,1994,218960.6472,125.19,31,Mid-Range
2693,4,1,Rural,1959,257512.5585,95.62,66,Mid-Range
1037,2,2,Rural,1971,86619.30466,83.53,54,Budget
